asset,Date,AdrActCnt
btc,2018-01-01,972783
btc,2018-01-02,1142721
btc,2018-01-03,1130917
btc,2018-01-04,1253986
btc,2018-01-05,1069525
btc,2018-01-06,1163503
btc,2018-01-07,1130388
btc,2018-01-08,1157303
btc,2018-01-09,1145338
btc,2018-01-10,1118949
btc,2018-01-11,1222969
btc,2018-01-12,1153290
btc,2018-01-13,939348
btc,2018-01-14,971840
btc,2018-01-15,949563
btc,2018-01-16,1001819
btc,2018-01-17,1090483
btc,2018-01-18,1050790
btc,2018-01-19,1027992
btc,2018-01-20,970060
btc,2018-01-21,988506
btc,2018-01-22,946599
btc,2018-01-23,893416
btc,2018-01-24,940167
btc,2018-01-25,854029
btc,2018-01-26,807029
btc,2018-01-27,860840
btc,2018-01-28,765711
btc,2018-01-29,775230
btc,2018-01-30,845185
btc,2018-01-31,685452
btc,2018-02-01,833934
btc,2018-02-02,853582
btc,2018-02-03,714800
btc,2018-02-04,711645
btc,2018-02-05,915758
btc,2018-02-06,999753
btc,2018-02-07,804119
btc,2018-02-08,753618
btc,2018-02-09,781921
btc,2018-02-10,737187
btc,2018-02-11,814528
btc,2018-02-12,912131
btc,2018-02-13,868109
btc,2018-02-14,937769
btc,2018-02-15,779005
btc,2018-02-16,773561
btc,2018-02-17,765638
btc,2018-02-18,730130
btc,2018-02-19,857787
btc,2018-02-20,703065
btc,2018-02-21,713740
btc,2018-02-22,719848
btc,2018-02-23,732287
btc,2018-02-24,690001
btc,2018-02-25,526879
btc,2018-02-26,688379
btc,2018-02-27,699046
btc,2018-02-28,817155
btc,2018-03-01,821011
btc,2018-03-02,752300
btc,2018-03-03,934083
btc,2018-03-04,792569
btc,2018-03-05,857168
btc,2018-03-06,834323
btc,2018-03-07,922143
btc,2018-03-08,903578
btc,2018-03-09,888997
btc,2018-03-10,803717
btc,2018-03-11,889324
btc,2018-03-12,828676
btc,2018-03-13,773506
btc,2018-03-14,580666
btc,2018-03-15,602746
btc,2018-03-16,601517
btc,2018-03-17,452543
btc,2018-03-18,535510
btc,2018-03-19,587514
btc,2018-03-20,567891
btc,2018-03-21,586910
btc,2018-03-22,577941
btc,2018-03-23,619608
btc,2018-03-24,543804
btc,2018-03-25,454187
btc,2018-03-26,582295
btc,2018-03-27,598612
btc,2018-03-28,552755
btc,2018-03-29,559619
btc,2018-03-30,571020
btc,2018-03-31,475498
btc,2018-04-01,425276
btc,2018-04-02,485666
btc,2018-04-03,605514
btc,2018-04-04,565002
btc,2018-04-05,534893
btc,2018-04-06,631476
btc,2018-04-07,502038
btc,2018-04-08,414992
btc,2018-04-09,535496
btc,2018-04-10,569509
btc,2018-04-11,533732
btc,2018-04-12,629328
btc,2018-04-13,638968
btc,2018-04-14,502546
btc,2018-04-15,590187
btc,2018-04-16,721332
btc,2018-04-17,614295
btc,2018-04-18,588686
btc,2018-04-19,657714
btc,2018-04-20,661833
btc,2018-04-21,602722
btc,2018-04-22,502665
btc,2018-04-23,642298
btc,2018-04-24,776436
btc,2018-04-25,701507
btc,2018-04-26,661663
btc,2018-04-27,674680
btc,2018-04-28,541764
btc,2018-04-29,549120
btc,2018-04-30,645424
btc,2018-05-01,634217
btc,2018-05-02,673769
btc,2018-05-03,660104
btc,2018-05-04,710689
btc,2018-05-05,606625
btc,2018-05-06,535825
btc,2018-05-07,662775
btc,2018-05-08,665870
btc,2018-05-09,603396
btc,2018-05-10,633729
btc,2018-05-11,772234
btc,2018-05-12,563749
btc,2018-05-13,488836
btc,2018-05-14,641192
btc,2018-05-15,624136
btc,2018-05-16,617403
btc,2018-05-17,635676
btc,2018-05-18,701918
btc,2018-05-19,500408
btc,2018-05-20,483041
btc,2018-05-21,620329
btc,2018-05-22,595706
btc,2018-05-23,636565
btc,2018-05-24,559734
btc,2018-05-25,624713
btc,2018-05-26,459370
btc,2018-05-27,441802
btc,2018-05-28,598556
btc,2018-05-29,600021
btc,2018-05-30,596173
btc,2018-05-31,620191
btc,2018-06-01,683588
btc,2018-06-02,524370
btc,2018-06-03,542740
btc,2018-06-04,694350
btc,2018-06-05,655014
btc,2018-06-06,653426
btc,2018-06-07,635530
btc,2018-06-08,640966
btc,2018-06-09,503993
btc,2018-06-10,527886
btc,2018-06-11,586393
btc,2018-06-12,662032
btc,2018-06-13,660241
btc,2018-06-14,586144
btc,2018-06-15,613937
btc,2018-06-16,434955
btc,2018-06-17,439145
btc,2018-06-18,569167
btc,2018-06-19,628857
btc,2018-06-20,590701
btc,2018-06-21,556428
btc,2018-06-22,616964
btc,2018-06-23,473376
btc,2018-06-24,465159
btc,2018-06-25,618481
btc,2018-06-26,601757
btc,2018-06-27,591319
btc,2018-06-28,566389
btc,2018-06-29,584573
btc,2018-06-30,560237
btc,2018-07-01,476547
btc,2018-07-02,662310
btc,2018-07-03,655359
btc,2018-07-04,594400
btc,2018-07-05,555588
btc,2018-07-06,640591
btc,2018-07-07,460458
btc,2018-07-08,501981
btc,2018-07-09,627774
btc,2018-07-10,669373
btc,2018-07-11,636817
btc,2018-07-12,923421
btc,2018-07-13,941540
btc,2018-07-14,793757
btc,2018-07-15,502106
btc,2018-07-16,602482
btc,2018-07-17,681518
btc,2018-07-18,762246
btc,2018-07-19,626926
btc,2018-07-20,653321
btc,2018-07-21,511119
btc,2018-07-22,459458
btc,2018-07-23,716690
btc,2018-07-24,717759
btc,2018-07-25,771199
btc,2018-07-26,641543
btc,2018-07-27,721812
btc,2018-07-28,545883
btc,2018-07-29,494042
btc,2018-07-30,638966
btc,2018-07-31,696566
btc,2018-08-01,698015
btc,2018-08-02,622521
btc,2018-08-03,694601
btc,2018-08-04,547308
btc,2018-08-05,495532
btc,2018-08-06,651894
btc,2018-08-07,710766
btc,2018-08-08,634443
btc,2018-08-09,636143
btc,2018-08-10,656819
btc,2018-08-11,523641
btc,2018-08-12,486939
btc,2018-08-13,602328
btc,2018-08-14,672592
btc,2018-08-15,677460
btc,2018-08-16,621029
btc,2018-08-17,650774
btc,2018-08-18,498238
btc,2018-08-19,502449
btc,2018-08-20,639365
btc,2018-08-21,589991
btc,2018-08-22,622189
btc,2018-08-23,574017
btc,2018-08-24,633016
btc,2018-08-25,540988
btc,2018-08-26,495145
btc,2018-08-27,675295
btc,2018-08-28,676219
btc,2018-08-29,643056
btc,2018-08-30,626114
btc,2018-08-31,658225
btc,2018-09-01,556577
btc,2018-09-02,491997
btc,2018-09-03,616107
btc,2018-09-04,646393
btc,2018-09-05,644928
btc,2018-09-06,659910
btc,2018-09-07,694327
btc,2018-09-08,541935
btc,2018-09-09,506971
btc,2018-09-10,620579
btc,2018-09-11,642145
btc,2018-09-12,602958
btc,2018-09-13,618775
btc,2018-09-14,615099
btc,2018-09-15,547938
btc,2018-09-16,479019
btc,2018-09-17,616149
btc,2018-09-18,640750
btc,2018-09-19,638350
btc,2018-09-20,628755
btc,2018-09-21,713347
btc,2018-09-22,550844
btc,2018-09-23,524121
btc,2018-09-24,601707
btc,2018-09-25,653042
btc,2018-09-26,624467
btc,2018-09-27,642476
btc,2018-09-28,654875
btc,2018-09-29,564628
btc,2018-09-30,514766
btc,2018-10-01,688212
btc,2018-10-02,660448
btc,2018-10-03,695230
btc,2018-10-04,653916
btc,2018-10-05,686857
btc,2018-10-06,569596
btc,2018-10-07,618542
btc,2018-10-08,643328
btc,2018-10-09,604271
btc,2018-10-10,651334
btc,2018-10-11,689144
btc,2018-10-12,699176
btc,2018-10-13,553344
btc,2018-10-14,522288
btc,2018-10-15,711826
btc,2018-10-16,674140
btc,2018-10-17,662174
btc,2018-10-18,673350
btc,2018-10-19,684662
btc,2018-10-20,583046
btc,2018-10-21,540049
btc,2018-10-22,687801
btc,2018-10-23,688951
btc,2018-10-24,630269
btc,2018-10-25,664579
btc,2018-10-26,681997
btc,2018-10-27,578121
btc,2018-10-28,547630
btc,2018-10-29,708860
btc,2018-10-30,697640
btc,2018-10-31,694833
btc,2018-11-01,702856
btc,2018-11-02,764821
btc,2018-11-03,635423
btc,2018-11-04,619152
btc,2018-11-05,709024
btc,2018-11-06,698165
btc,2018-11-07,708634
btc,2018-11-08,702459
btc,2018-11-09,696353
btc,2018-11-10,583550
btc,2018-11-11,601176
btc,2018-11-12,680949
btc,2018-11-13,637890
btc,2018-11-14,734241
btc,2018-11-15,709708
btc,2018-11-16,704543
btc,2018-11-17,587644
btc,2018-11-18,543353
btc,2018-11-19,680899
btc,2018-11-20,769611
btc,2018-11-21,620393
btc,2018-11-22,653846
btc,2018-11-23,624434
btc,2018-11-24,578522
btc,2018-11-25,577253
btc,2018-11-26,628614
btc,2018-11-27,627815
btc,2018-11-28,630438
btc,2018-11-29,612685
btc,2018-11-30,597612
btc,2018-12-01,579421
btc,2018-12-02,502649
btc,2018-12-03,586010
btc,2018-12-04,671416
btc,2018-12-05,609238
btc,2018-12-06,655016
btc,2018-12-07,658859
btc,2018-12-08,531426
btc,2018-12-09,518114
btc,2018-12-10,600210
btc,2018-12-11,635401
btc,2018-12-12,616176
btc,2018-12-13,638713
btc,2018-12-14,701381
btc,2018-12-15,594065
btc,2018-12-16,539434
btc,2018-12-17,682984
btc,2018-12-18,656410
btc,2018-12-19,701481
btc,2018-12-20,641537
btc,2018-12-21,656212
btc,2018-12-22,551516
btc,2018-12-23,520086
btc,2018-12-24,583425
btc,2018-12-25,481186
btc,2018-12-26,536230
btc,2018-12-27,624625
btc,2018-12-28,644439
btc,2018-12-29,572182
btc,2018-12-30,514111
btc,2018-12-31,557851
btc,2019-01-01,433715
btc,2019-01-02,578607
btc,2019-01-03,598436
btc,2019-01-04,580495
btc,2019-01-05,519070
btc,2019-01-06,498140
btc,2019-01-07,613474
btc,2019-01-08,607366
btc,2019-01-09,619701
btc,2019-01-10,634499
btc,2019-01-11,623617
btc,2019-01-12,521168
btc,2019-01-13,477843
btc,2019-01-14,604549
btc,2019-01-15,621686
btc,2019-01-16,639811
btc,2019-01-17,619396
btc,2019-01-18,606378
btc,2019-01-19,519467
btc,2019-01-20,518578
btc,2019-01-21,604061
btc,2019-01-22,594573
btc,2019-01-23,685141
btc,2019-01-24,619376
btc,2019-01-25,629078
btc,2019-01-26,585285
btc,2019-01-27,487233
btc,2019-01-28,650793
btc,2019-01-29,607365
btc,2019-01-30,622377
btc,2019-01-31,632855
btc,2019-02-01,654356
btc,2019-02-02,560738
btc,2019-02-03,518121
btc,2019-02-04,610696
btc,2019-02-05,645414
btc,2019-02-06,686774
btc,2019-02-07,645404
btc,2019-02-08,691966
btc,2019-02-09,561955
btc,2019-02-10,501124
btc,2019-02-11,709903
btc,2019-02-12,809914
btc,2019-02-13,758224
btc,2019-02-14,617275
btc,2019-02-15,621340
btc,2019-02-16,587666
btc,2019-02-17,526787
btc,2019-02-18,693311
btc,2019-02-19,713530
btc,2019-02-20,690103
btc,2019-02-21,643083
btc,2019-02-22,728261
btc,2019-02-23,581866
btc,2019-02-24,558515
btc,2019-02-25,679440
btc,2019-02-26,702086
btc,2019-02-27,668278
btc,2019-02-28,688385
btc,2019-03-01,727984
btc,2019-03-02,616539
btc,2019-03-03,553981
btc,2019-03-04,687289
btc,2019-03-05,701551
btc,2019-03-06,734311
btc,2019-03-07,689254
btc,2019-03-08,698786
btc,2019-03-09,604793
btc,2019-03-10,525757
btc,2019-03-11,749756
btc,2019-03-12,696573
btc,2019-03-13,720085
btc,2019-03-14,735928
btc,2019-03-15,715166
btc,2019-03-16,602121
btc,2019-03-17,548345
btc,2019-03-18,720573
btc,2019-03-19,739893
btc,2019-03-20,745772
btc,2019-03-21,705159
btc,2019-03-22,726789
btc,2019-03-23,566705
btc,2019-03-24,569884
btc,2019-03-25,715056
btc,2019-03-26,688572
btc,2019-03-27,778566
btc,2019-03-28,765998
btc,2019-03-29,759323
btc,2019-03-30,683748
btc,2019-03-31,623888
btc,2019-04-01,697929
btc,2019-04-02,879271
btc,2019-04-03,856707
btc,2019-04-04,802957
btc,2019-04-05,873077
btc,2019-04-06,677458
btc,2019-04-07,623548
btc,2019-04-08,778923
btc,2019-04-09,776284
btc,2019-04-10,773468
btc,2019-04-11,813510
btc,2019-04-12,763723
btc,2019-04-13,602847
btc,2019-04-14,596510
btc,2019-04-15,767910
btc,2019-04-16,777026
btc,2019-04-17,734917
btc,2019-04-18,739768
btc,2019-04-19,798377
btc,2019-04-20,689643
btc,2019-04-21,673424
btc,2019-04-22,646342
btc,2019-04-23,714325
btc,2019-04-24,875920
btc,2019-04-25,751975
btc,2019-04-26,761966
btc,2019-04-27,619281
btc,2019-04-28,574359
btc,2019-04-29,807672
btc,2019-04-30,839425
btc,2019-05-01,760187
btc,2019-05-02,787748
btc,2019-05-03,803354
btc,2019-05-04,658798
btc,2019-05-05,613917
btc,2019-05-06,776590
btc,2019-05-07,754405
btc,2019-05-08,839633
btc,2019-05-09,831454
btc,2019-05-10,775704
btc,2019-05-11,773667
btc,2019-05-12,819732
btc,2019-05-13,882729
btc,2019-05-14,896277
btc,2019-05-15,879106
btc,2019-05-16,882945
btc,2019-05-17,903650
btc,2019-05-18,845558
btc,2019-05-19,750954
btc,2019-05-20,836865
btc,2019-05-21,888770
btc,2019-05-22,862194
btc,2019-05-23,825753
btc,2019-05-24,862849
btc,2019-05-25,701431
btc,2019-05-26,670124
btc,2019-05-27,884928
btc,2019-05-28,944118
btc,2019-05-29,887870
btc,2019-05-30,862822
btc,2019-05-31,766989
btc,2019-06-01,850116
btc,2019-06-02,690143
btc,2019-06-03,727530
btc,2019-06-04,911280
btc,2019-06-05,874396
btc,2019-06-06,812486
btc,2019-06-07,864227
btc,2019-06-08,617675
btc,2019-06-09,580387
btc,2019-06-10,809202
btc,2019-06-11,835542
btc,2019-06-12,795814
btc,2019-06-13,892695
btc,2019-06-14,1041358
btc,2019-06-15,860753
btc,2019-06-16,689588
btc,2019-06-17,805931
btc,2019-06-18,950212
btc,2019-06-19,892254
btc,2019-06-20,839162
btc,2019-06-21,842659
btc,2019-06-22,848072
btc,2019-06-23,875010
btc,2019-06-24,978017
btc,2019-06-25,911584
btc,2019-06-26,1035885
btc,2019-06-27,891448
btc,2019-06-28,1008973
btc,2019-06-29,846946
btc,2019-06-30,675915
btc,2019-07-01,836709
btc,2019-07-02,894242
btc,2019-07-03,883931
btc,2019-07-04,814107
btc,2019-07-05,837154
btc,2019-07-06,654703
btc,2019-07-07,614084
btc,2019-07-08,834590
btc,2019-07-09,815561
btc,2019-07-10,802293
btc,2019-07-11,778056
btc,2019-07-12,899488
