asset,Date,AdrActCnt
eth,2018-01-01,520683
eth,2018-01-02,619409
eth,2018-01-03,648959
eth,2018-01-04,716438
eth,2018-01-05,703108
eth,2018-01-06,669883
eth,2018-01-07,614040
eth,2018-01-08,661636
eth,2018-01-09,715228
eth,2018-01-10,671853
eth,2018-01-11,668789
eth,2018-01-12,617412
eth,2018-01-13,654142
eth,2018-01-14,614264
eth,2018-01-15,714821
eth,2018-01-16,735111
eth,2018-01-17,718205
eth,2018-01-18,681654
eth,2018-01-19,543995
eth,2018-01-20,470143
eth,2018-01-21,612388
eth,2018-01-22,547707
eth,2018-01-23,527571
eth,2018-01-24,510896
eth,2018-01-25,410985
eth,2018-01-26,480908
eth,2018-01-27,424637
eth,2018-01-28,448123
eth,2018-01-29,479352
eth,2018-01-30,466227
eth,2018-01-31,461713
eth,2018-02-01,501671
eth,2018-02-02,499746
eth,2018-02-03,433090
eth,2018-02-04,425727
eth,2018-02-05,457677
eth,2018-02-06,452196
eth,2018-02-07,418269
eth,2018-02-08,353159
eth,2018-02-09,399711
eth,2018-02-10,420048
eth,2018-02-11,382341
eth,2018-02-12,421764
eth,2018-02-13,365156
eth,2018-02-14,387178
eth,2018-02-15,400782
eth,2018-02-16,346010
eth,2018-02-17,349625
eth,2018-02-18,343310
eth,2018-02-19,392016
eth,2018-02-20,392070
eth,2018-02-21,363398
eth,2018-02-22,343322
eth,2018-02-23,329223
eth,2018-02-24,293520
eth,2018-02-25,294581
eth,2018-02-26,368611
eth,2018-02-27,355055
eth,2018-02-28,373014
eth,2018-03-01,342494
eth,2018-03-02,355811
eth,2018-03-03,309915
eth,2018-03-04,287392
eth,2018-03-05,358287
eth,2018-03-06,364952
eth,2018-03-07,467576
eth,2018-03-08,347207
eth,2018-03-09,335308
eth,2018-03-10,318074
eth,2018-03-11,288838
eth,2018-03-12,322689
eth,2018-03-13,333398
eth,2018-03-14,359709
eth,2018-03-15,339262
eth,2018-03-16,313390
eth,2018-03-17,279550
eth,2018-03-18,318550
eth,2018-03-19,356019
eth,2018-03-20,329322
eth,2018-03-21,352609
eth,2018-03-22,345780
eth,2018-03-23,401205
eth,2018-03-24,354616
eth,2018-03-25,266883
eth,2018-03-26,318207
eth,2018-03-27,292427
eth,2018-03-28,272121
eth,2018-03-29,293419
eth,2018-03-30,316912
eth,2018-03-31,273912
eth,2018-04-01,273312
eth,2018-04-02,306197
eth,2018-04-03,327729
eth,2018-04-04,330922
eth,2018-04-05,372734
eth,2018-04-06,350661
eth,2018-04-07,293326
eth,2018-04-08,309376
eth,2018-04-09,319374
eth,2018-04-10,339055
eth,2018-04-11,371762
eth,2018-04-12,353014
eth,2018-04-13,374208
eth,2018-04-14,301862
eth,2018-04-15,302284
eth,2018-04-16,334786
eth,2018-04-17,339274
eth,2018-04-18,339669
eth,2018-04-19,360686
eth,2018-04-20,369410
eth,2018-04-21,411088
eth,2018-04-22,414637
eth,2018-04-23,428031
eth,2018-04-24,417221
eth,2018-04-25,365985
eth,2018-04-26,358539
eth,2018-04-27,346176
eth,2018-04-28,341856
eth,2018-04-29,318879
eth,2018-04-30,361168
eth,2018-05-01,328660
eth,2018-05-02,363346
eth,2018-05-03,394992
eth,2018-05-04,644295
eth,2018-05-05,396427
eth,2018-05-06,389642
eth,2018-05-07,419460
eth,2018-05-08,410500
eth,2018-05-09,390605
eth,2018-05-10,390235
eth,2018-05-11,392464
eth,2018-05-12,383918
eth,2018-05-13,359287
eth,2018-05-14,398274
eth,2018-05-15,400914
eth,2018-05-16,414046
eth,2018-05-17,412529
eth,2018-05-18,419826
eth,2018-05-19,424160
eth,2018-05-20,389190
eth,2018-05-21,397743
eth,2018-05-22,422824
eth,2018-05-23,410012
eth,2018-05-24,418876
eth,2018-05-25,394287
eth,2018-05-26,375954
eth,2018-05-27,403522
eth,2018-05-28,445032
eth,2018-05-29,409323
eth,2018-05-30,413796
eth,2018-05-31,416236
eth,2018-06-01,371923
eth,2018-06-02,404528
eth,2018-06-03,415409
eth,2018-06-04,397194
eth,2018-06-05,380350
eth,2018-06-06,374278
eth,2018-06-07,403581
eth,2018-06-08,364344
eth,2018-06-09,388714
eth,2018-06-10,406267
eth,2018-06-11,403546
eth,2018-06-12,355775
eth,2018-06-13,385073
eth,2018-06-14,372165
eth,2018-06-15,385201
eth,2018-06-16,310364
eth,2018-06-17,321511
eth,2018-06-18,344436
eth,2018-06-19,375907
eth,2018-06-20,388423
eth,2018-06-21,384776
eth,2018-06-22,383910
eth,2018-06-23,340250
eth,2018-06-24,359869
eth,2018-06-25,492435
eth,2018-06-26,372838
eth,2018-06-27,382764
eth,2018-06-28,393195
eth,2018-06-29,379509
eth,2018-06-30,261580
eth,2018-07-01,197829
eth,2018-07-02,235721
eth,2018-07-03,232199
eth,2018-07-04,230552
eth,2018-07-05,253141
eth,2018-07-06,219912
eth,2018-07-07,217148
eth,2018-07-08,272797
eth,2018-07-09,290889
eth,2018-07-10,294141
eth,2018-07-11,271336
eth,2018-07-12,257081
eth,2018-07-13,239602
eth,2018-07-14,229822
eth,2018-07-15,231420
eth,2018-07-16,341295
eth,2018-07-17,357364
eth,2018-07-18,409849
eth,2018-07-19,379165
eth,2018-07-20,356950
eth,2018-07-21,319591
eth,2018-07-22,338502
eth,2018-07-23,398296
eth,2018-07-24,423877
eth,2018-07-25,431947
eth,2018-07-26,388974
eth,2018-07-27,416595
eth,2018-07-28,382761
eth,2018-07-29,359339
eth,2018-07-30,376103
eth,2018-07-31,374451
eth,2018-08-01,374393
eth,2018-08-02,369948
eth,2018-08-03,394710
eth,2018-08-04,340854
eth,2018-08-05,320195
eth,2018-08-06,348727
eth,2018-08-07,323836
eth,2018-08-08,291558
eth,2018-08-09,284548
eth,2018-08-10,325203
eth,2018-08-11,336510
eth,2018-08-12,332668
eth,2018-08-13,352269
eth,2018-08-14,334805
eth,2018-08-15,328753
eth,2018-08-16,354449
eth,2018-08-17,312809
eth,2018-08-18,305324
eth,2018-08-19,304996
eth,2018-08-20,336770
eth,2018-08-21,300645
eth,2018-08-22,306983
eth,2018-08-23,300126
eth,2018-08-24,316189
eth,2018-08-25,304696
eth,2018-08-26,320400
eth,2018-08-27,329885
eth,2018-08-28,320916
eth,2018-08-29,267879
eth,2018-08-30,287916
eth,2018-08-31,290044
eth,2018-09-01,322434
eth,2018-09-02,333290
eth,2018-09-03,340844
eth,2018-09-04,316527
eth,2018-09-05,321744
eth,2018-09-06,303884
eth,2018-09-07,305417
eth,2018-09-08,281740
eth,2018-09-09,284904
eth,2018-09-10,282579
eth,2018-09-11,261353
eth,2018-09-12,261275
eth,2018-09-13,276678
eth,2018-09-14,258740
eth,2018-09-15,244687
eth,2018-09-16,228206
eth,2018-09-17,291307
eth,2018-09-18,258463
eth,2018-09-19,235612
eth,2018-09-20,261726
eth,2018-09-21,254561
eth,2018-09-22,231040
eth,2018-09-23,228519
eth,2018-09-24,226513
eth,2018-09-25,238299
eth,2018-09-26,221050
eth,2018-09-27,242499
eth,2018-09-28,249548
eth,2018-09-29,222349
eth,2018-09-30,242254
eth,2018-10-01,235188
eth,2018-10-02,237819
eth,2018-10-03,288662
eth,2018-10-04,294709
eth,2018-10-05,315425
eth,2018-10-06,326444
eth,2018-10-07,266999
eth,2018-10-08,281024
eth,2018-10-09,278759
eth,2018-10-10,259112
eth,2018-10-11,276591
eth,2018-10-12,277706
eth,2018-10-13,281709
eth,2018-10-14,286828
eth,2018-10-15,298338
eth,2018-10-16,304839
eth,2018-10-17,308025
eth,2018-10-18,316673
eth,2018-10-19,287643
eth,2018-10-20,344066
eth,2018-10-21,308778
eth,2018-10-22,333040
eth,2018-10-23,313343
eth,2018-10-24,323381
eth,2018-10-25,314814
eth,2018-10-26,318269
eth,2018-10-27,308409
eth,2018-10-28,333518
eth,2018-10-29,333546
eth,2018-10-30,359738
eth,2018-10-31,352140
eth,2018-11-01,317485
eth,2018-11-02,267634
eth,2018-11-03,278264
eth,2018-11-04,299497
eth,2018-11-05,291779
eth,2018-11-06,278348
eth,2018-11-07,270280
eth,2018-11-08,288705
eth,2018-11-09,316813
eth,2018-11-10,329225
eth,2018-11-11,355871
eth,2018-11-12,327353
eth,2018-11-13,336439
eth,2018-11-14,336750
eth,2018-11-15,367079
eth,2018-11-16,330177
eth,2018-11-17,336902
eth,2018-11-18,311575
eth,2018-11-19,362855
eth,2018-11-20,325428
eth,2018-11-21,305267
eth,2018-11-22,304552
eth,2018-11-23,296227
eth,2018-11-24,285249
eth,2018-11-25,306399
eth,2018-11-26,324681
eth,2018-11-27,325795
eth,2018-11-28,321224
eth,2018-11-29,263790
eth,2018-11-30,278002
eth,2018-12-01,310612
eth,2018-12-02,276777
eth,2018-12-03,269535
eth,2018-12-04,258028
eth,2018-12-05,279019
eth,2018-12-06,283624
eth,2018-12-07,313613
eth,2018-12-08,333138
eth,2018-12-09,289050
eth,2018-12-10,290286
eth,2018-12-11,282399
eth,2018-12-12,314610
eth,2018-12-13,303851
eth,2018-12-14,297473
eth,2018-12-15,378120
eth,2018-12-16,372962
eth,2018-12-17,303060
eth,2018-12-18,277282
eth,2018-12-19,322980
eth,2018-12-20,340424
eth,2018-12-21,320212
eth,2018-12-22,325282
eth,2018-12-23,357263
eth,2018-12-24,346049
eth,2018-12-25,252176
eth,2018-12-26,288376
eth,2018-12-27,297630
eth,2018-12-28,314344
eth,2018-12-29,314501
eth,2018-12-30,247598
eth,2018-12-31,286665
eth,2019-01-01,227755
eth,2019-01-02,266633
eth,2019-01-03,298379
eth,2019-01-04,264923
eth,2019-01-05,257064
eth,2019-01-06,266956
eth,2019-01-07,288553
eth,2019-01-08,277503
eth,2019-01-09,279728
eth,2019-01-10,276872
eth,2019-01-11,309317
eth,2019-01-12,267659
eth,2019-01-13,260303
eth,2019-01-14,296695
eth,2019-01-15,277216
eth,2019-01-16,259885
eth,2019-01-17,249911
eth,2019-01-18,250566
eth,2019-01-19,235309
eth,2019-01-20,234174
eth,2019-01-21,242165
eth,2019-01-22,221052
eth,2019-01-23,241743
eth,2019-01-24,232516
eth,2019-01-25,242692
eth,2019-01-26,281294
eth,2019-01-27,253559
eth,2019-01-28,275560
eth,2019-01-29,247558
eth,2019-01-30,244601
eth,2019-01-31,226825
eth,2019-02-01,233701
eth,2019-02-02,230615
eth,2019-02-03,217389
eth,2019-02-04,208209
eth,2019-02-05,214341
eth,2019-02-06,210354
eth,2019-02-07,196941
eth,2019-02-08,210686
eth,2019-02-09,193871
eth,2019-02-10,171484
eth,2019-02-11,195256
eth,2019-02-12,207073
eth,2019-02-13,206023
eth,2019-02-14,207805
eth,2019-02-15,208673
eth,2019-02-16,215553
eth,2019-02-17,203761
eth,2019-02-18,248067
eth,2019-02-19,235079
eth,2019-02-20,218723
eth,2019-02-21,210293
eth,2019-02-22,217612
eth,2019-02-23,211612
eth,2019-02-24,217755
eth,2019-02-25,231575
eth,2019-02-26,239116
eth,2019-02-27,235484
eth,2019-02-28,233394
eth,2019-03-01,268402
eth,2019-03-02,279249
eth,2019-03-03,291044
eth,2019-03-04,272293
eth,2019-03-05,270746
eth,2019-03-06,266235
eth,2019-03-07,279134
eth,2019-03-08,272589
eth,2019-03-09,284250
eth,2019-03-10,248152
eth,2019-03-11,262743
eth,2019-03-12,298223
eth,2019-03-13,272122
eth,2019-03-14,280348
eth,2019-03-15,258613
eth,2019-03-16,268643
eth,2019-03-17,282235
eth,2019-03-18,263811
eth,2019-03-19,265142
eth,2019-03-20,261950
eth,2019-03-21,237078
eth,2019-03-22,247350
eth,2019-03-23,241066
eth,2019-03-24,260748
eth,2019-03-25,294083
eth,2019-03-26,275745
eth,2019-03-27,262880
eth,2019-03-28,277318
eth,2019-03-29,257930
eth,2019-03-30,249624
eth,2019-03-31,241677
eth,2019-04-01,296278
eth,2019-04-02,336880
eth,2019-04-03,320514
eth,2019-04-04,283098
eth,2019-04-05,290567
eth,2019-04-06,281955
eth,2019-04-07,287126
eth,2019-04-08,299606
eth,2019-04-09,296515
eth,2019-04-10,300565
eth,2019-04-11,314322
eth,2019-04-12,320739
eth,2019-04-13,290028
