Date,Close,High,Low,Open,Volume,asset_x,SplyCur,asset_y,AdrActCnt,MarketCap,Return
2018-01-01,772.64099121,782.53002930,742.00402832,755.75701904,2595760128.00000000,eth,96712858.68697999,eth,520683,74724318998.75155640,
2018-01-02,884.44396973,914.83001709,772.34600830,772.34600830,5783349760.00000000,eth,96733419.74947999,eth,619409,85555289768.45594788,0.14470236
2018-01-03,962.71997070,974.47100830,868.45098877,886.00000000,5093159936.00000000,eth,96754018.96822999,eth,648959,93147026306.50398254,0.08850306
2018-01-04,980.92199707,1045.07995605,946.08599854,961.71301270,6502859776.00000000,eth,96774982.21822999,eth,716438,94928708823.95013428,0.01890688
2018-01-05,997.71997070,1075.39001465,956.32501221,975.75000000,6683149824.00000000,eth,96795899.71822999,eth,703108,96575202231.05505371,0.01712468
2018-01-06,1041.68005371,1060.70996094,994.62200928,995.15399170,4662219776.00000000,eth,96816848.62447999,eth,669883,100852180075.27201843,0.04406054
2018-01-07,1153.17004395,1153.17004395,1043.01000977,1043.01000977,5569880064.00000000,eth,96838028.81197999,eth,614040,111670713940.68841553,0.10702902
2018-01-08,1148.53002930,1266.93005371,1016.04998779,1158.26000977,8450970112.00000000,eth,96858632.24947999,eth,661636,111245047735.15049744,-0.00402370
2018-01-09,1299.73999023,1320.97998047,1145.48999023,1146.00000000,7965459968.00000000,eth,96879368.06197999,eth,715228,125917988898.79029846,0.13165521
2018-01-10,1255.81994629,1417.38000488,1226.59997559,1300.33996582,9214950400.00000000,eth,96900449.99947999,eth,671853,121689517913.73295593,-0.03379141
2018-01-11,1154.93005371,1337.30004883,1135.17004395,1268.08996582,7235899904.00000000,eth,96921481.40572999,eth,668789,111937531725.66337585,-0.08033786
2018-01-12,1273.19995117,1296.04003906,1120.08996582,1158.29003906,5222300160.00000000,eth,96942398.53072999,eth,617412,123427057075.80987549,0.10240438
2018-01-13,1396.42004395,1432.88000488,1270.46997070,1270.46997070,5746760192.00000000,eth,96963077.62447999,eth,654142,135401185117.44909668,0.09677984
2018-01-14,1366.77001953,1400.56005859,1286.20996094,1397.47998047,4841630208.00000000,eth,96984103.49947999,eth,614264,132554965034.20504761,-0.02123288
2018-01-15,1291.92004395,1390.58996582,1290.59997559,1365.20996094,4781100032.00000000,eth,97004517.37447999,eth,714821,125322080349.33203125,-0.05476413
